,case,event,startTime,completeTime,amount,paymentAmount,expense,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
38228,A2833,Payment,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,35.0,,157,,,A,35.0,,NIL,0
39350,A2893,Payment,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,35.0,,157,,,A,35.0,,NIL,0
302001,S114494,Payment,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,35.0,,7,,,A,35.0,,NIL,0
304607,S116054,Create Fine,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,,,158,,,A,0.0,,NIL,0
258120,N93965,Insert Fine Notification,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,,14.25,157,P,,A,0.0,P,NIL,0
27253,A2290,Payment,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,35.0,,157,,,A,35.0,,NIL,0
304614,S116057,Create Fine,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,,,7,,,A,0.0,,NIL,0
38314,A2837,Create Fine,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,,,157,,,A,0.0,,NIL,0
93859,C19113,Send Fine,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,68.0,,0.0,172,,,A,0.0,,NIL,5
258121,N93965,Payment,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,35.0,14.25,157,P,,A,35.0,P,NIL,0
304612,S116055,Create Fine,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,,,158,,,A,0.0,,NIL,0
304638,S116101,Create Fine,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,21.0,,,181,,,A,0.0,,NIL,0
38390,A2840,Payment,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,35.0,,157,,,A,35.0,,NIL,0
104560,N102092,Create Fine,2006/09/01 00:00:00.000,2006/09/01 00:00:00.000,35.0,,,157,,,A,0.0,,NIL,0
