,case,event,startTime,completeTime,amount,paymentAmount,expense,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
515128,S87111,Add penalty,2004/02/01 00:00:00.000,2004/02/01 00:00:00.000,137.55,,15.6,158,P,,A,0.0,N,NIL,0
515383,S87276,Add penalty,2004/02/01 00:00:00.000,2004/02/01 00:00:00.000,68.77,,15.6,157,P,,A,0.0,N,NIL,0
88468,C15732,Add penalty,2004/02/01 00:00:00.000,2004/02/01 00:00:00.000,137.55,,0.0,188,P,,A,0.0,N,NIL,0
517732,S88912,Add penalty,2004/02/01 00:00:00.000,2004/02/01 00:00:00.000,68.77,,15.6,157,P,,A,0.0,N,NIL,0
88458,C15730,Add penalty,2004/02/01 00:00:00.000,2004/02/01 00:00:00.000,137.55,,0.0,188,P,,A,0.0,N,NIL,0
511833,S84882,Add penalty,2004/02/01 00:00:00.000,2004/02/01 00:00:00.000,137.55,68.25,15.6,158,P,,A,68.25,N,NIL,0
87818,C15192,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,137.55,,,80,,,A,0.0,,NIL,0
511828,S84880,Payment,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.77,5.16,15.16,158,P,,A,48.76,N,NIL,0
539050,V12405,Payment,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,275.1,147.55,15.6,142,P,,A,147.55,N,NIL,0
519323,S90544,Payment,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,33.6,,7,,,A,33.6,,NIL,0
514668,S86813,Add penalty,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.77,43.6,15.6,7,P,,A,43.6,N,NIL,0
509291,S83215,Add penalty,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.77,48.76,15.6,157,P,,A,48.76,N,NIL,0
512797,S85619,Add penalty,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.77,,15.6,158,P,,A,0.0,N,NIL,0
512842,S85654,Add penalty,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.77,,15.6,7,P,,A,0.0,N,NIL,0
510422,S83932,Add penalty,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.77,48.76,15.6,157,P,,A,48.76,N,NIL,0
512862,S85674,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.25,,,158,,,A,0.0,,NIL,0
177806,N48955,Payment,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.77,43.6,15.6,157,P,,A,43.6,N,NIL,0
179620,N49735,Payment,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.77,5.16,15.16,157,P,,A,48.76,N,NIL,0
520841,S91929,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
520947,S92012,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
520945,S92011,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
520197,S91218,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
520999,S92051,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
88442,C15718,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,137.55,,,80,,,A,0.0,,NIL,0
518657,S90060,Payment,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,33.6,,7,,,A,33.6,,NIL,0
539315,V12516,Send Appeal to Prefecture,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,275.1,,10.0,142,P,,A,0.0,N,#,0
520294,S91334,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
520295,S91334,Payment,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,33.6,,7,,,A,33.6,,NIL,0
520092,S91121,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
515413,S87307,Insert Date Appeal to Prefecture,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,137.55,,10.0,158,P,,A,0.0,N,NIL,2
520087,S91120,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,,,158,,,A,0.0,,NIL,0
88606,C15847,Send Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,33.6,,0.0,180,,,A,0.0,,NIL,0
88229,C15517,Create Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,687.75,,,193,,,C,0.0,,NIL,0
88230,C15517,Send Fine,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,687.75,,0.0,193,,,C,0.0,,NIL,0
509187,S83135,Payment,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,68.25,68.25,,158,,,A,68.25,,NIL,0
88231,C15517,Insert Fine Notification,2004/02/02 00:00:00.000,2004/02/02 00:00:00.000,687.75,,0.0,193,P,,C,0.0,N,NIL,0
