,case,event,startTime,completeTime,amount,paymentAmount,expense,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
169309,N45308,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,,10.0,157,P,,A,0.0,N,NIL,0
534030,V10148,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,262.0,,10.0,142,P,,A,0.0,N,NIL,0
498020,S76670,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,131.0,,10.0,158,P,,A,0.0,N,NIL,0
490881,S73694,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,131.0,,15.16,158,P,,A,0.0,N,NIL,0
169369,N45327,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,39.0,,10.0,7,P,,A,0.0,N,NIL,0
431567,S43833,Payment,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,32.0,32.0,10.0,7,P,,A,32.0,N,NIL,0
173661,N47231,Create Fine,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
158228,N40884,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,,10.0,157,P,,A,0.0,N,NIL,0
173659,N47228,Create Fine,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
156582,N40236,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,,10.0,157,P,,A,0.0,N,NIL,0
534121,V10178,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,262.0,,15.16,142,P,0.0,A,0.0,N,NIL,0
501409,S78412,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,,10.0,7,P,,A,0.0,N,NIL,0
165532,N43748,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,,15.16,157,P,,A,0.0,N,NIL,0
559301,V9125,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,262.0,,15.16,142,P,,A,0.0,N,NIL,0
169986,N45567,Payment,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,42.0,10.0,157,P,,A,42.0,N,NIL,0
534219,V10224,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,262.0,,10.0,142,P,,A,0.0,N,NIL,0
86367,C14422,Create Fine,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,33.6,,,180,,,A,0.0,,NIL,0
169167,N45242,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,39.0,,10.0,7,P,,A,0.0,N,NIL,0
168062,N44677,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,,10.0,157,P,,A,0.0,N,NIL,0
169992,N45570,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,,10.0,157,P,,A,0.0,N,NIL,0
169997,N45571,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,,10.0,157,P,,A,0.0,N,NIL,0
173266,N47105,Create Fine,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
534200,V10215,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,262.0,,10.0,142,P,,A,0.0,N,NIL,0
534159,V10193,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,262.0,,16.0,142,P,,A,0.0,N,NIL,0
170004,N45575,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,65.5,,10.0,157,P,,A,0.0,N,NIL,0
169826,N45503,Add penalty,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,39.0,,10.0,7,P,,A,0.0,N,NIL,0
171638,N46249,Create Fine,2003/02/01 00:00:00.000,2003/02/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
