,case,event,startTime,completeTime,amount,paymentAmount,expense,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
469233,S63735,Add penalty,2001/11/01 00:00:00.000,2001/11/01 00:00:00.000,65.6,,6.71,7,P,,A,0.0,N,NIL,0
474105,S65869,Create Fine,2001/11/01 00:00:00.000,2001/11/01 00:00:00.000,32.8,,,157,,,A,0.0,,NIL,0
465718,S62260,Create Fine,2001/11/01 00:00:00.000,2001/11/01 00:00:00.000,32.8,,,158,,,A,0.0,,NIL,0
85710,C14046,Add penalty,2001/11/01 00:00:00.000,2001/11/01 00:00:00.000,65.6,,0.0,170,P,,C,0.0,N,NIL,0
465723,S62261,Create Fine,2001/11/01 00:00:00.000,2001/11/01 00:00:00.000,65.6,,,158,,,A,0.0,,NIL,0
85573,C13959,Add penalty,2001/11/01 00:00:00.000,2001/11/01 00:00:00.000,262.4,,0.0,80,P,,A,0.0,N,NIL,0
465713,S62259,Create Fine,2001/11/01 00:00:00.000,2001/11/01 00:00:00.000,65.6,,,158,,,A,0.0,,NIL,0
150321,N37605,Create Fine,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,,157,,,A,0.0,,NIL,0
143969,N34851,Insert Fine Notification,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,6.71,157,P,,A,0.0,N,NIL,0
133557,N30927,Payment,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,62.59,31.3,6.71,157,P,,A,69.31,N,NIL,0
143121,N34519,Payment,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,39.51,11.88,157,P,,A,39.51,N,NIL,0
146338,N35877,Payment,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,32.8,,157,,,A,32.8,,NIL,0
150333,N37609,Create Fine,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,,157,,,A,0.0,,NIL,0
151886,N38277,Create Fine,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,,157,,,A,0.0,,NIL,0
149650,N37328,Create Fine,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,,157,,,A,0.0,,NIL,0
459862,S59749,Payment,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,62.59,31.3,6.71,7,P,,A,69.31,N,NIL,0
147640,N36414,Insert Fine Notification,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,6.71,157,P,,A,0.0,N,NIL,0
86162,C14297,Create Fine,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,,180,,,A,0.0,,NIL,0
134140,N31144,Payment,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,39.36,19.68,6.71,7,P,,A,46.07,N,NIL,0
149648,N37326,Create Fine,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,,157,,,A,0.0,,NIL,0
133539,N30920,Payment,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,62.59,31.3,6.71,157,P,,A,69.31,N,NIL,0
150335,N37611,Create Fine,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,,157,,,A,0.0,,NIL,0
133052,N30738,Payment,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,62.59,26.13,6.71,157,P,,A,69.31,N,NIL,0
151914,N38291,Create Fine,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,19.68,,,7,,,A,0.0,,NIL,0
468379,S63356,Insert Date Appeal to Prefecture,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,32.8,,6.71,7,P,,A,0.0,N,NIL,0
133419,N30875,Payment,2001/11/02 00:00:00.000,2001/11/02 00:00:00.000,37.56,30.66,11.88,7,P,,A,30.66,N,NIL,0
