,case,event,startTime,completeTime,amount,paymentAmount,expense,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
360801,S147803,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
361312,S148105,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
72306,A46856,Insert Fine Notification,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,13.5,157,P,,A,0.0,P,NIL,0
359966,S147364,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
353127,S143580,Insert Fine Notification,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,389.0,,13.5,180,P,,C,0.0,P,NIL,0
91366,C17826,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,155.0,155.0,,80,,,A,155.0,,NIL,0
72143,A46764,Insert Fine Notification,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,13.5,157,P,,A,0.0,P,NIL,0
360803,S147804,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
360118,S147438,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
97586,C21253,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,155.5,78.0,0.0,188,P,,A,78.0,C,NIL,0
97585,C21253,Add penalty,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,155.5,,0.0,188,P,,A,0.0,C,NIL,0
357132,S145775,Insert Fine Notification,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,26.0,7,P,,A,0.0,P,NIL,0
359946,S147347,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
71262,A45863,Insert Fine Notification,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,23.0,,13.5,7,P,,A,0.0,P,NIL,0
360325,S147530,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,7,,,C,0.0,,NIL,0
96592,C20679,Add penalty,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,779.5,,0.0,23,P,,A,0.0,C,NIL,0
359876,S147295,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
360104,S147429,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,38.0,,157,,,A,38.0,,NIL,0
357632,S146032,Insert Fine Notification,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,13.5,158,P,,A,0.0,P,NIL,0
360126,S147441,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,2
359890,S147300,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,158,,,A,0.0,,NIL,0
359883,S147297,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
357343,S145888,Insert Fine Notification,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,13.5,7,P,,A,0.0,P,NIL,0
361307,S148103,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
359871,S147294,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
352464,S143230,Insert Fine Notification,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,13.5,7,P,,A,0.0,P,NIL,0
359882,S147296,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,38.0,,157,,,A,38.0,,NIL,0
359083,S146903,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,38.0,,158,,,A,38.0,,NIL,0
352077,S143010,Insert Date Appeal to Prefecture,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,78.0,,13.5,158,P,,A,0.0,P,NIL,0
360643,S147718,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,38.0,,158,,,A,38.0,,NIL,0
360106,S147430,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,38.0,,158,,,A,38.0,,NIL,0
361314,S148106,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,158,,,A,0.0,,NIL,0
359881,S147296,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
61743,A40877,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,77.5,39.5,13.5,157,P,,A,91.0,P,NIL,0
68036,A44057,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,46.0,59.5,13.5,7,P,,A,59.5,P,NIL,0
351147,S142523,Payment,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,51.5,13.5,7,,,A,51.5,,NIL,0
359885,S147299,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,78.0,,,158,,,A,0.0,,NIL,2
360120,S147440,Create Fine,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,,158,,,A,0.0,,NIL,0
351574,S142751,Insert Date Appeal to Prefecture,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,38.0,,13.5,7,P,,A,0.0,P,NIL,0
354477,S144340,Insert Fine Notification,2010/02/01 00:00:00.000,2010/02/01 00:00:00.000,78.0,,13.5,158,P,,A,0.0,P,NIL,0
360474,S147615,Create Fine,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,,7,,,A,0.0,,NIL,0
340500,S136997,Payment,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,77.5,39.5,13.5,158,P,,C,91.0,P,NIL,0
360117,S147435,Payment,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,38.0,,157,,,A,38.0,,NIL,0
360765,S147787,Payment,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,38.0,,157,,,A,38.0,,NIL,0
72160,A46768,Insert Fine Notification,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,13.5,157,P,,A,0.0,P,NIL,0
355965,S145111,Insert Fine Notification,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,13.5,7,P,,A,0.0,P,NIL,0
343317,S138426,Payment,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,77.5,51.5,13.5,7,P,,A,51.5,P,NIL,0
348060,S140835,Insert Date Appeal to Prefecture,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,13.5,157,P,,A,0.0,P,NIL,0
39535,A29040,Payment,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,77.5,51.5,13.5,157,P,,A,51.5,P,NIL,0
344766,S139111,Send Appeal to Prefecture,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,77.5,,19.1,7,P,,A,0.0,P,#,0
349601,S141689,Send Appeal to Prefecture,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,299.5,,13.5,191,P,,A,0.0,P,#,5
360132,S147442,Create Fine,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
360137,S147443,Create Fine,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,,157,,,A,0.0,,NIL,0
349696,S141736,Insert Date Appeal to Prefecture,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,13.5,158,P,,A,0.0,P,NIL,0
346683,S140189,Send Appeal to Prefecture,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,77.5,,13.5,7,P,,A,0.0,P,#,0
352432,S143219,Insert Date Appeal to Prefecture,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,13.5,157,P,,A,0.0,P,NIL,0
357996,S146236,Insert Fine Notification,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,78.0,,13.5,158,P,,A,0.0,P,NIL,0
69239,A44678,Add penalty,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,77.5,,13.5,157,P,,A,0.0,P,NIL,0
346677,S140188,Send Appeal to Prefecture,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,77.5,,13.5,146,P,,A,0.0,P,#,2
71768,A46279,Insert Fine Notification,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,13.5,157,P,,A,0.0,P,NIL,0
63975,A41983,Add penalty,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,77.5,,13.5,157,P,,A,0.0,P,NIL,0
69292,A44706,Insert Date Appeal to Prefecture,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,13.5,157,P,,A,0.0,P,NIL,0
360758,S147784,Payment,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,78.0,78.0,,158,,,A,78.0,,NIL,0
361315,S148106,Payment,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,38.0,,158,,,A,38.0,,NIL,0
71323,A45888,Insert Fine Notification,2010/02/02 00:00:00.000,2010/02/02 00:00:00.000,38.0,,13.5,157,P,,A,0.0,P,NIL,0
