,case,event,startTime,completeTime,amount,paymentAmount,expense,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
187188,N55805,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
189653,N56920,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
188671,N56499,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
189648,N56919,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
519455,S90614,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,,NIL,0
187741,N56113,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
518914,S90255,Send Appeal to Prefecture,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,N,#,0
519116,S90403,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,,NIL,0
516597,S88123,Appeal to Judge,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.0,7,P,0.0,A,0.0,N,G,0
187713,N56101,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,157,,,A,33.6,,NIL,0
510818,S84215,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,44.6,,7,,,A,44.6,,NIL,0
187736,N56112,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
89466,C16481,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,,80,,,M,0.0,,NIL,0
188878,N56610,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,157,,,A,33.6,,NIL,0
519152,S90428,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,44.6,16.6,157,P,,A,44.6,,NIL,0
518402,S89694,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,N,NIL,0
519393,S90584,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,,NIL,0
511849,S84890,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,171,P,,C,0.0,N,NIL,0
517894,S89036,Send Appeal to Prefecture,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,11.0,158,P,,A,0.0,N,#,2
518688,S90084,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,,NIL,0
518716,S90120,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,,NIL,0
524683,S94620,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,7,,,A,33.6,,NIL,0
187723,N56109,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
187728,N56110,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
523273,S93821,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,7,,,A,33.6,,NIL,0
520662,S91652,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,,NIL,0
509191,S83143,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,,NIL,0
518409,S89695,Send Appeal to Prefecture,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,11.0,158,P,,A,0.0,N,NIL,0
89468,C16481,Insert Fine Notification,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,0.0,80,P,,M,0.0,,NIL,0
524676,S94618,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,7,,,A,33.6,,NIL,0
522523,S93194,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
522525,S93195,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
519222,S90482,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,,NIL,0
187734,N56111,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
187721,N56108,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
519929,S90928,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,44.6,16.6,157,P,,A,44.6,N,NIL,0
522570,S93281,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.25,,,158,,,A,0.0,,NIL,0
524791,S94679,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,157,,,A,33.6,,NIL,0
522575,S93282,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.25,,,158,,,A,0.0,,NIL,0
519417,S90604,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,N,NIL,0
89467,C16481,Send Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,0.0,80,,,M,0.0,,NIL,0
190051,N57151,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
188534,N56449,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,157,,,A,33.6,,NIL,0
519607,S90706,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,,NIL,0
189513,N56863,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,157,,,A,33.6,,NIL,0
523031,S93676,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
523037,S93677,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
523039,S93678,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
519077,S90382,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,,NIL,0
520710,S91757,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,,NIL,0
519231,S90485,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,11.0,11.0,7,P,,A,44.6,N,NIL,0
519133,S90410,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,N,NIL,0
523041,S93679,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
188927,N56628,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
519059,S90377,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,N,NIL,0
189854,N57012,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
189856,N57013,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
188932,N56629,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
189858,N57014,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
188938,N56630,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
188669,N56498,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
190056,N57152,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
520580,S91605,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,,NIL,0
519521,S90654,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,N,NIL,0
519316,S90533,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,,NIL,0
519837,S90880,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,N,NIL,0
519121,S90404,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,,NIL,0
509184,S83134,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,,NIL,0
518580,S89936,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,,NIL,0
519101,S90397,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,275.1,,16.6,146,P,,C,0.0,,NIL,0
513027,S85870,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,157,P,,A,0.0,N,NIL,0
530206,S97668,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,688.27,,16.6,180,P,,A,0.0,N,NIL,0
520465,S91518,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,157,P,,A,0.0,N,NIL,0
186254,N54889,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,19.95,,,7,,,A,0.0,,NIL,0
185334,N53783,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,19.95,,,7,,,A,0.0,,NIL,0
522899,S93542,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
522894,S93541,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
522889,S93538,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
519690,S90746,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,,NIL,0
518764,S90139,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,N,NIL,0
506227,S81412,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,0.44,15.6,157,P,,A,49.2,N,NIL,0
186541,N55190,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,157,,,A,33.6,,NIL,0
521010,S92056,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,44.6,11.0,158,P,,A,44.6,,NIL,0
188919,N56624,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
518278,S89547,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,,NIL,0
188925,N56625,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
523043,S93682,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,157,,,A,0.0,,NIL,0
518250,S89531,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,N,NIL,0
518678,S90080,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,N,NIL,0
520510,S91556,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,N,NIL,0
518319,S89582,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,N,NIL,0
520846,S91931,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,157,P,,A,0.0,,NIL,0
507564,S82116,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,74.9,15.6,158,P,,A,153.15,N,NIL,0
183517,N52872,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,157,,,A,33.6,,NIL,0
560363,V9576,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,262.0,24.36,15.16,142,P,0.0,A,73.08,N,NIL,0
188803,N56562,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,157,,,A,33.6,,NIL,0
520452,S91511,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,157,P,,A,0.0,N,NIL,0
519768,S90803,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,16.6,16.6,158,P,,A,50.2,N,NIL,0
518667,S90077,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,,NIL,0
518733,S90128,Send Appeal to Prefecture,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,11.0,158,P,,A,0.0,N,#,0
518990,S90330,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,,NIL,0
523061,S93689,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
523059,S93688,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
520516,S91558,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,44.6,11.0,158,P,,A,44.6,N,NIL,0
520528,S91566,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,158,P,,A,0.0,,NIL,0
518210,S89448,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,N,NIL,0
519810,S90862,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,157,P,,A,0.0,N,NIL,0
519516,S90653,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,N,NIL,0
190057,N57152,Payment,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,33.6,,157,,,A,33.6,,NIL,0
519511,S90652,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,68.77,,16.6,7,P,,A,0.0,,NIL,0
509255,S83200,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,N,NIL,0
523048,S93684,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
523054,S93687,Create Fine,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,33.6,,,7,,,A,0.0,,NIL,0
519311,S90531,Add penalty,2004/07/01 00:00:00.000,2004/07/01 00:00:00.000,137.55,,16.6,158,P,,A,0.0,,NIL,0
